Filename	X/Long	Y/Lat	Z	Pan	Tilt	Roll	Timestamp
ladybug_16064125_20210906_102028-161	337996.01930312	5896255.80410783	43.868419	84.363898	-0.624179	-1.382744	1314951762.086239
ladybug_16064125_20210906_102028-162	337999.03688933	5896255.94109990	43.851350	84.113383	-0.700368	-1.974204	1314951762.401169
ladybug_16064125_20210906_102028-163	338002.06937471	5896256.11118067	43.839064	83.946708	-0.443333	-1.939424	1314951762.711202
ladybug_16064125_20210906_102028-164	338005.09260846	5896256.30520944	43.842165	83.787679	-0.477725	-1.545944	1314951763.016214
ladybug_16064125_20210906_102028-165	338008.13605380	5896256.50941125	43.845856	83.612820	-0.734865	-1.231090	1314951763.321183
ladybug_16064125_20210906_102028-166	338011.17799149	5896256.70747817	43.839279	83.477436	-0.603691	-1.297531	1314951763.626170
ladybug_16064125_20210906_102028-167	338014.22554101	5896256.91183074	43.838350	83.480183	-0.854007	-1.294552	1314951763.931178
ladybug_16064125_20210906_102028-168	338017.26237189	5896257.10417503	43.827287	83.613855	-0.940374	-1.472999	1314951764.236361
ladybug_16064125_20210906_102028-169	338020.28707855	5896257.29176382	43.813427	83.751426	-0.988490	-1.543696	1314951764.541194
ladybug_16064125_20210906_102028-170	338023.29564217	5896257.47430034	43.797658	83.912589	-1.013041	-1.543039	1314951764.846167
ladybug_16064125_20210906_102028-171	338026.33639037	5896257.65212030	43.777842	84.136113	-1.242526	-1.511360	1314951765.156191
ladybug_16064125_20210906_102028-172	338029.34328911	5896257.81565998	43.752583	84.362702	-1.081112	-1.508411	1314951765.466355
ladybug_16064125_20210906_102028-173	338032.37253455	5896257.97638925	43.733693	84.934246	-1.048257	-1.116524	1314951765.781156
ladybug_16064125_20210906_102028-174	338035.37382932	5896258.08785452	43.718855	86.285597	-0.913008	-0.671176	1314951766.096199
ladybug_16064125_20210906_102028-175	338038.40041671	5896258.09347395	43.706684	88.310759	-0.995018	-0.551837	1314951766.416177
ladybug_16064125_20210906_102028-176	338041.38927266	5896257.97882918	43.692522	91.011177	-0.940287	-0.315557	1314951766.736157
ladybug_16064125_20210906_102028-177	338044.38432588	5896257.69294666	43.681183	94.525996	-1.025927	-0.275160	1314951767.061201
ladybug_16064125_20210906_102028-178	338047.32091375	5896257.21246569	43.664609	98.537534	-1.122432	-0.247993	1314951767.386153